"","buying","maint","doors","persons","lug_boot","safety","class"
"130","vhigh","high","4","2","med","med","unacc"
"131","med","vhigh","5more","4","med","med","acc"
"132","low","high","5more","more","big","high","vgood"
"133","low","high","4","4","small","low","acc"
"134","med","low","4","more","small","high","unacc"
"135","med","vhigh","4","2","big","low","unacc"
"136","vhigh","low","3","more","small","low","unacc"
"137","high","high","2","2","med","med","unacc"
"138","low","vhigh","2","4","big","med","acc"
"139","vhigh","vhigh","2","more","big","high","unacc"
"140","high","vhigh","4","4","big","med","unacc"
"141","vhigh","high","3","more","big","low","unacc"
"142","vhigh","med","5more","more","small","med","acc"
"143","med","high","4","4","small","high","acc"
"144","vhigh","low","2","2","small","high","unacc"
"145","med","high","3","more","small","med","unacc"
"146","vhigh","low","4","2","big","high","unacc"
"147","high","low","2","4","big","med","acc"
"148","low","low","3","2","med","high","unacc"
"149","high","low","5more","2","med","low","unacc"
"150","low","vhigh","2","2","big","med","unacc"
"151","high","med","3","4","big","med","acc"
"152","low","low","5more","more","small","med","acc"
"153","vhigh","vhigh","3","4","big","low","unacc"
"154","high","high","4","4","small","low","unacc"
"155","low","low","2","more","big","med","good"
"156","low","med","2","2","small","med","unacc"
"157","vhigh","high","4","2","small","high","unacc"
"158","low","low","5more","more","big","high","vgood"
"159","med","low","4","2","big","low","unacc"
"160","high","low","2","more","med","med","unacc"
"161","low","low","2","more","big","med","good"
"162","high","low","4","more","med","low","unacc"
"163","high","vhigh","4","2","big","low","unacc"
"164","med","high","5more","2","small","med","unacc"
"165","low","high","2","more","med","high","vgood"
"166","med","high","4","4","big","high","acc"
"167","low","vhigh","4","more","med","med","acc"
"168","med","med","5more","2","small","med","unacc"
"169","vhigh","low","2","2","med","med","unacc"
"170","low","med","5more","more","small","high","acc"
"171","low","vhigh","2","more","med","low","unacc"
"172","med","high","2","4","big","high","acc"
"173","vhigh","low","5more","4","small","low","unacc"
"174","med","vhigh","3","more","big","low","unacc"
"175","vhigh","high","2","more","med","high","acc"
"176","low","low","2","4","med","med","vgood"
"177","low","high","4","2","med","low","unacc"
"178","vhigh","med","2","more","big","med","acc"
"179","low","med","2","2","small","high","unacc"
"180","high","vhigh","3","more","small","low","unacc"
"181","vhigh","high","3","4","med","high","acc"
"182","med","high","3","4","small","low","unacc"
"183","high","med","3","2","small","high","unacc"
"184","low","vhigh","2","2","med","low","unacc"
"185","vhigh","high","2","4","big","med","unacc"
"186","med","high","5more","2","big","low","unacc"
"187","low","vhigh","2","4","med","high","unacc"
"188","low","vhigh","3","more","med","med","unacc"
"189","med","high","4","4","small","low","unacc"
"190","med","med","2","4","med","med","acc"
"191","high","vhigh","2","more","med","low","unacc"
"192","med","vhigh","5more","4","small","high","acc"
"193","vhigh","low","4","4","small","low","unacc"
"194","vhigh","med","2","4","small","low","unacc"
"195","med","high","3","2","med","med","unacc"
"196","med","vhigh","4","more","small","high","acc"
"197","med","vhigh","2","more","big","med","acc"
"198","high","high","4","4","med","high","acc"
"199","vhigh","high","4","more","med","low","unacc"
"200","vhigh","high","5more","4","med","med","acc"
"201","med","med","4","4","small","low","unacc"
"202","low","med","4","2","big","med","unacc"
"203","med","med","2","4","small","med","acc"
"204","low","vhigh","2","4","small","high","acc"
"205","low","high","3","4","big","high","acc"
"206","low","vhigh","3","more","small","low","unacc"
"207","vhigh","low","3","more","big","high","unacc"
"208","high","med","4","4","big","high","acc"
"209","low","med","2","4","med","high","good"
"210","high","vhigh","5more","4","small","high","unacc"
"211","low","high","2","4","big","high","vgood"
"212","low","vhigh","5more","2","med","high","unacc"
"213","low","vhigh","3","2","med","med","unacc"
"214","high","med","3","4","med","high","acc"
"215","high","high","4","4","med","low","unacc"
"216","low","high","2","4","small","low","unacc"
"217","vhigh","low","3","2","small","high","unacc"
"218","vhigh","high","4","2","big","high","unacc"
"219","high","low","2","more","small","low","unacc"
"220","vhigh","med","4","4","big","med","acc"
"221","high","med","5more","2","big","med","unacc"
"222","high","high","2","more","small","med","acc"
"223","vhigh","low","2","more","small","low","unacc"
"224","low","high","2","2","big","med","unacc"
"225","high","vhigh","5more","2","big","high","unacc"
"226","vhigh","med","4","2","small","low","unacc"
"227","med","high","3","more","med","med","acc"
"228","high","med","2","more","big","high","acc"
"229","high","low","4","more","med","high","acc"
"230","vhigh","vhigh","2","4","big","med","acc"
"231","low","vhigh","3","2","small","low","unacc"
"232","vhigh","med","2","2","small","med","unacc"
"233","med","low","5more","2","big","high","unacc"
"234","med","med","2","more","small","med","unacc"
"235","med","low","5more","2","big","med","unacc"
"236","vhigh","med","2","2","big","high","unacc"
"237","vhigh","high","4","more","small","high","unacc"
"238","low","vhigh","2","2","med","med","unacc"
"239","vhigh","high","2","2","med","med","unacc"
"240","vhigh","vhigh","4","more","med","high","unacc"
"241","high","vhigh","3","4","med","high","good"
"242","vhigh","med","5more","2","med","low","unacc"
"243","vhigh","low","4","2","big","med","unacc"
"244","vhigh","vhigh","5more","4","med","low","unacc"
"245","low","med","3","2","med","med","unacc"
"246","low","low","3","2","big","high","unacc"
"247","med","high","3","4","small","med","unacc"
"248","med","med","2","2","big","high","unacc"
"249","high","vhigh","4","2","small","med","unacc"
"250","high","low","3","4","small","high","acc"
"251","low","vhigh","3","2","med","low","unacc"
"252","med","med","5more","2","big","low","unacc"
"253","high","low","2","2","med","high","acc"
"254","med","high","3","2","med","med","unacc"
"255","low","high","5more","2","big","low","unacc"
"256","med","vhigh","5more","2","big","high","unacc"
"257","low","high","2","more","small","high","unacc"
"258","vhigh","low","3","more","med","high","acc"
"259","high","low","2","2","med","high","acc"
"260","high","med","5more","2","small","med","unacc"
"261","high","high","4","more","small","med","unacc"
"262","med","vhigh","4","4","med","high","acc"
"263","med","high","4","2","big","med","unacc"
"264","high","high","5more","4","med","high","unacc"
"265","vhigh","low","3","2","med","med","unacc"
"266","high","vhigh","2","4","small","high","unacc"
"267","high","vhigh","2","2","big","low","unacc"
"268","med","vhigh","4","2","small","med","unacc"
"269","high","high","4","more","small","med","acc"
"270","low","high","5more","4","big","med","acc"
"271","med","low","2","4","med","med","acc"
"272","med","med","5more","4","med","high","acc"
"273","vhigh","vhigh","2","2","big","low","unacc"
"274","high","med","2","more","big","low","unacc"
"275","high","vhigh","5more","4","small","med","unacc"
"276","vhigh","high","4","more","big","low","unacc"
"277","low","med","4","2","med","high","unacc"
"278","vhigh","high","4","4","small","med","unacc"
"279","med","vhigh","2","4","med","med","unacc"
"280","low","vhigh","2","more","small","high","acc"
"281","vhigh","vhigh","5more","4","med","med","acc"
"282","med","high","3","more","big","low","unacc"
"283","low","med","3","2","small","low","unacc"
"284","vhigh","vhigh","2","2","small","high","unacc"
"285","vhigh","high","3","4","small","med","unacc"
"286","high","med","5more","2","big","med","unacc"
"287","low","med","5more","4","big","low","unacc"
"288","med","vhigh","4","more","med","low","unacc"
"289","vhigh","vhigh","4","2","big","low","unacc"
"290","high","low","4","4","med","low","unacc"
"291","high","med","4","2","big","low","unacc"
"292","high","med","2","more","big","low","unacc"
"293","high","high","3","more","small","med","unacc"
"294","med","high","5more","more","med","low","unacc"
"295","high","low","4","4","big","low","unacc"
"296","med","med","4","2","small","low","unacc"
"297","vhigh","vhigh","3","4","small","med","unacc"
"298","low","high","2","4","small","low","unacc"
"299","high","high","5more","2","med","med","unacc"
"300","high","med","4","2","big","high","unacc"
"301","vhigh","high","5more","4","med","low","unacc"
"302","med","vhigh","4","4","small","high","acc"
"303","med","high","3","2","small","low","unacc"
"304","med","med","4","more","med","low","unacc"
"305","high","vhigh","4","4","small","med","unacc"
"306","low","low","3","4","small","low","acc"
"307","low","med","4","2","small","low","unacc"
"308","low","low","3","2","big","med","unacc"
"309","med","low","2","4","med","high","good"
"310","high","vhigh","2","2","med","med","unacc"
"311","low","med","5more","4","big","med","good"
"312","low","high","2","2","small","low","unacc"
"313","vhigh","high","5more","4","big","med","unacc"
"314","vhigh","med","3","2","small","low","unacc"
"315","low","vhigh","2","4","med","high","unacc"
"316","high","low","2","4","med","low","unacc"
"317","med","vhigh","3","more","med","high","acc"
"318","vhigh","high","4","more","big","low","unacc"
"319","vhigh","high","5more","2","med","low","unacc"
"320","med","med","3","4","big","high","unacc"
"321","high","med","2","2","big","med","unacc"
"322","vhigh","med","2","more","big","low","unacc"
"323","vhigh","vhigh","3","more","small","med","unacc"
"324","low","low","3","2","small","low","unacc"
"325","high","vhigh","4","more","big","med","unacc"
"326","high","med","4","2","med","med","unacc"
"327","vhigh","high","2","more","small","low","unacc"
"328","high","low","2","more","med","high","acc"
"329","low","high","5more","more","big","high","acc"
"330","high","med","2","4","med","low","unacc"
"331","high","med","2","more","med","low","unacc"
"332","high","med","2","4","big","low","unacc"
"333","low","vhigh","3","4","small","high","acc"
"334","vhigh","med","3","4","big","low","unacc"
"335","high","vhigh","3","more","med","low","unacc"
"336","med","low","5more","more","big","med","good"
"337","low","med","5more","4","big","med","good"
"338","vhigh","med","4","2","med","low","unacc"
"339","med","low","4","4","med","high","unacc"
"340","med","low","5more","4","small","high","acc"
"341","med","vhigh","4","more","big","med","acc"
"342","vhigh","high","4","2","small","med","unacc"
"343","low","low","3","4","med","med","acc"
"344","vhigh","high","5more","4","big","low","unacc"
"345","low","vhigh","3","4","big","med","unacc"
"346","high","low","2","more","med","low","unacc"
"347","med","high","4","2","small","low","unacc"
"348","vhigh","med","3","more","big","high","acc"
"349","med","high","4","2","small","high","acc"
"350","med","med","2","more","small","high","acc"
"351","high","low","4","2","small","low","unacc"
"352","med","high","4","more","big","high","acc"
"353","med","high","4","2","big","med","unacc"
"354","low","med","5more","2","big","high","unacc"
"355","low","high","4","2","med","low","unacc"
"356","high","vhigh","5more","4","small","med","unacc"
"357","vhigh","med","3","4","big","high","acc"
"358","med","high","4","more","big","med","acc"
"359","high","med","3","more","small","low","unacc"
"360","low","high","4","2","small","med","unacc"
"361","med","low","5more","2","small","med","unacc"
"362","med","med","5more","2","small","high","unacc"
"363","vhigh","vhigh","4","4","small","low","unacc"
"364","low","med","2","4","small","med","good"
"365","high","vhigh","3","more","small","low","unacc"
"366","med","low","5more","more","small","high","good"
"367","low","low","2","2","big","low","unacc"
"368","vhigh","med","4","4","small","low","unacc"
"369","med","high","2","2","small","low","unacc"
"370","high","med","2","more","small","low","unacc"
"371","low","vhigh","4","2","small","low","unacc"
"372","med","med","5more","4","small","low","unacc"
"373","high","high","2","2","big","med","unacc"
"374","med","med","3","more","small","low","unacc"
"375","vhigh","med","3","2","big","low","unacc"
"376","vhigh","vhigh","4","more","big","med","unacc"
"377","low","high","3","2","small","low","unacc"
"378","vhigh","med","5more","2","med","low","unacc"
"379","med","med","5more","4","small","low","unacc"
"380","low","vhigh","5more","4","big","high","acc"
"381","vhigh","med","5more","4","small","med","unacc"
"382","high","med","5more","more","small","high","acc"
"383","vhigh","med","4","more","med","low","unacc"
"384","vhigh","low","2","more","big","high","acc"
"385","low","med","4","4","big","high","acc"
"386","med","low","2","more","med","med","acc"
"387","vhigh","high","2","2","small","high","unacc"
"388","low","med","5more","more","small","high","acc"
"389","med","high","4","more","big","med","acc"
"390","low","high","2","4","big","high","vgood"
"391","high","med","2","4","med","high","acc"
"392","med","low","4","4","med","low","unacc"
"393","high","vhigh","4","2","med","med","unacc"
"394","med","med","5more","4","med","high","vgood"
"395","vhigh","med","2","4","big","high","acc"
"396","high","high","4","2","med","med","unacc"
"397","high","high","2","2","big","med","unacc"
"398","med","high","5more","more","big","low","unacc"
"399","vhigh","high","4","2","med","med","unacc"
"400","med","vhigh","3","more","big","med","acc"
"401","med","high","5more","4","small","low","unacc"
"402","med","med","2","more","small","low","unacc"
"403","high","high","3","2","med","low","unacc"
"404","med","low","3","4","med","high","good"
"405","med","low","2","2","med","low","unacc"
"406","low","vhigh","2","2","big","high","unacc"
"407","vhigh","med","2","more","small","med","unacc"
"408","low","high","2","4","big","low","unacc"
"409","med","high","2","4","big","high","acc"
"410","med","med","2","4","big","high","vgood"
"411","high","vhigh","5more","4","med","low","unacc"
"412","med","med","5more","more","med","high","acc"
"413","high","vhigh","3","more","small","low","unacc"
"414","low","high","3","2","med","med","unacc"
"415","high","vhigh","4","2","small","med","unacc"
"416","low","low","4","2","med","high","unacc"
"417","med","low","5more","more","small","low","unacc"
"418","low","low","4","2","big","med","unacc"
"419","vhigh","low","2","4","med","low","unacc"
"420","med","med","2","4","small","low","unacc"
"421","low","high","4","2","small","high","unacc"
"422","low","high","3","more","small","med","acc"
"423","vhigh","vhigh","5more","2","big","low","unacc"
"424","vhigh","low","3","4","small","med","unacc"
"425","vhigh","high","3","4","small","high","unacc"
"426","med","vhigh","4","2","med","med","unacc"
"427","high","low","3","2","med","low","unacc"
"428","med","med","5more","4","big","low","unacc"
"429","vhigh","high","5more","4","small","low","unacc"
"430","vhigh","med","3","more","med","med","acc"
"431","high","high","2","2","big","high","unacc"
"432","low","vhigh","2","more","med","low","unacc"
"433","low","low","2","2","small","low","unacc"
"434","med","high","4","2","med","high","unacc"
"435","high","vhigh","5more","4","big","low","unacc"
"436","high","high","3","2","small","high","unacc"
"437","low","high","2","4","big","med","acc"
"438","high","high","5more","4","small","high","acc"
"439","vhigh","med","2","more","small","med","unacc"
"440","vhigh","med","4","2","big","low","unacc"
"441","low","high","4","more","big","low","acc"
"442","high","vhigh","3","2","small","med","unacc"
"443","low","vhigh","2","more","small","med","unacc"
"444","high","med","3","more","small","high","unacc"
"445","high","high","2","4","med","low","unacc"
"446","low","vhigh","3","2","big","med","acc"
"447","med","vhigh","3","2","small","high","unacc"
"448","vhigh","med","2","4","big","low","unacc"
"449","high","low","3","more","big","low","unacc"
"450","vhigh","med","4","4","big","low","unacc"
"451","med","high","3","2","med","med","unacc"
"452","med","vhigh","3","4","small","high","acc"
"453","vhigh","med","4","4","small","med","unacc"
"454","med","vhigh","4","2","med","low","unacc"
"455","low","high","2","4","big","low","unacc"
"456","vhigh","vhigh","2","2","small","med","unacc"
"457","high","vhigh","4","2","med","high","unacc"
"458","vhigh","vhigh","2","4","med","med","unacc"
"459","vhigh","high","4","4","big","low","acc"
"460","vhigh","low","3","more","small","high","acc"
"461","med","med","4","4","big","med","acc"
"462","med","low","2","2","small","high","unacc"
"463","low","med","4","more","med","high","acc"
"464","vhigh","vhigh","2","more","med","high","unacc"
"465","high","vhigh","2","2","small","low","unacc"
"466","low","low","2","4","small","low","unacc"
"467","med","high","2","2","small","low","unacc"
"468","high","med","5more","4","med","high","acc"
"469","vhigh","med","5more","4","small","med","unacc"
"470","med","med","3","more","small","low","unacc"
"471","high","high","2","2","big","med","unacc"
"472","high","high","3","4","big","med","acc"
"473","low","high","2","more","small","med","unacc"
"474","vhigh","high","3","2","med","high","unacc"
"475","low","high","5more","4","med","low","unacc"
"476","vhigh","vhigh","2","more","big","low","unacc"
"477","low","high","5more","2","big","low","unacc"
"478","low","vhigh","4","more","big","med","acc"
"479","med","vhigh","2","4","small","low","unacc"
"480","vhigh","med","5more","4","small","med","unacc"
"481","med","low","4","4","big","low","unacc"
"482","high","vhigh","4","2","big","med","unacc"
"483","med","vhigh","3","4","big","low","unacc"
"484","vhigh","high","4","2","small","low","unacc"
"485","vhigh","vhigh","3","more","med","high","acc"
"486","vhigh","low","4","2","med","med","unacc"
"487","high","med","2","more","small","med","unacc"
"488","high","high","2","more","med","low","unacc"
"489","med","med","3","4","med","high","vgood"
"490","med","high","5more","more","small","high","acc"
"491","med","vhigh","3","4","small","low","unacc"
"492","low","med","5more","2","med","low","unacc"
"493","low","high","3","2","big","low","unacc"
"494","high","vhigh","4","more","med","low","unacc"
"495","high","low","3","2","small","med","unacc"
"496","high","med","2","4","big","med","unacc"
"497","med","vhigh","4","more","med","low","unacc"
"498","med","med","3","more","med","low","unacc"
"499","high","high","3","4","med","low","unacc"
"500","low","vhigh","5more","more","small","med","unacc"
"501","high","vhigh","4","more","small","med","acc"
"502","vhigh","med","3","4","big","low","unacc"
"503","high","vhigh","2","4","big","low","unacc"
"504","low","high","2","more","small","low","acc"
"505","med","med","4","4","small","med","acc"
"506","low","vhigh","4","more","med","med","good"
"507","vhigh","vhigh","4","more","big","high","unacc"
"508","med","vhigh","3","2","big","med","unacc"
"509","vhigh","high","2","2","med","med","unacc"
"510","low","low","2","4","big","low","unacc"
"511","med","vhigh","3","more","big","high","acc"
"512","vhigh","high","2","4","med","high","acc"
"513","low","low","3","2","med","high","unacc"
"514","med","med","3","more","big","high","acc"
"515","low","med","5more","4","med","high","vgood"
"516","high","vhigh","2","4","med","med","unacc"
"517","med","med","3","2","small","high","unacc"
"518","vhigh","vhigh","2","4","med","med","unacc"
"519","med","low","3","2","big","med","unacc"
"520","med","high","3","more","big","low","unacc"
"521","vhigh","low","2","4","med","low","unacc"
"522","med","low","3","4","big","high","acc"
"523","low","vhigh","5more","4","med","low","unacc"
"524","high","vhigh","3","4","big","low","unacc"
"525","vhigh","med","3","more","big","high","acc"
"526","high","med","2","2","med","low","unacc"
"527","med","low","5more","2","big","med","unacc"
"528","med","low","4","2","small","high","unacc"
"529","med","high","3","more","big","low","unacc"
"530","vhigh","low","2","2","med","low","unacc"
"531","med","low","2","4","small","low","unacc"
"532","med","vhigh","5more","2","med","low","unacc"
"533","low","med","5more","more","med","med","acc"
"534","vhigh","med","5more","2","med","med","unacc"
"535","med","high","4","2","med","high","unacc"
"536","med","high","5more","more","big","high","acc"
"537","vhigh","vhigh","5more","2","small","high","unacc"
"538","vhigh","low","2","4","med","low","unacc"
"539","high","high","4","2","big","low","unacc"
"540","high","med","5more","4","big","high","acc"
"541","low","high","2","2","big","med","unacc"
"542","vhigh","low","3","4","small","low","unacc"
"543","vhigh","vhigh","5more","2","small","high","unacc"
"544","med","high","3","2","small","high","unacc"
"545","high","med","2","4","med","high","acc"
"546","high","vhigh","2","more","big","low","unacc"
"547","low","high","3","more","big","low","unacc"
"548","med","vhigh","4","2","small","high","unacc"
"549","low","high","4","4","big","med","unacc"
"550","low","high","5more","more","small","med","unacc"
"551","high","vhigh","4","2","small","low","unacc"
"552","low","vhigh","2","4","big","high","acc"
"553","low","low","3","more","big","med","acc"
"554","low","med","3","4","small","low","unacc"
"555","low","med","5more","2","med","high","unacc"
"556","med","med","4","2","med","med","unacc"
"557","high","vhigh","5more","4","small","med","unacc"
"558","high","vhigh","3","more","big","low","unacc"
"559","med","med","4","more","big","med","acc"
"560","low","low","5more","more","med","low","unacc"
"561","low","vhigh","5more","more","med","med","unacc"
"562","vhigh","med","2","more","big","high","acc"
"563","high","vhigh","4","4","big","med","unacc"
"564","high","vhigh","3","2","med","low","unacc"
"565","med","vhigh","4","4","big","med","good"
"566","med","vhigh","2","more","big","low","unacc"
"567","low","high","4","more","med","low","vgood"
"568","vhigh","vhigh","4","4","med","high","unacc"
"569","low","vhigh","3","2","big","high","unacc"
"570","vhigh","high","3","more","big","med","unacc"
"571","high","high","4","2","big","med","unacc"
"572","vhigh","high","4","4","small","high","unacc"
"573","high","low","2","more","med","low","unacc"
"574","high","vhigh","5more","4","big","med","unacc"
"575","high","high","3","4","med","high","acc"
"576","med","vhigh","3","more","big","low","unacc"
"577","vhigh","vhigh","2","4","small","med","unacc"
"578","high","high","4","more","med","med","acc"
"579","low","vhigh","5more","2","med","med","unacc"
"580","vhigh","high","5more","4","med","high","vgood"
"581","vhigh","vhigh","2","4","small","med","unacc"
"582","vhigh","low","4","more","med","med","acc"
"583","low","high","4","more","small","low","unacc"
"584","vhigh","med","2","more","small","low","unacc"
"585","low","low","5more","4","med","med","good"
"586","vhigh","vhigh","2","more","small","high","unacc"
"587","high","vhigh","2","2","small","low","unacc"
"588","med","low","4","2","big","med","unacc"
"589","low","low","4","more","med","high","vgood"
"590","low","low","4","2","med","med","unacc"
"591","low","vhigh","4","more","big","high","acc"
"592","vhigh","high","3","more","small","med","unacc"
"593","vhigh","vhigh","4","2","small","low","unacc"
"594","vhigh","vhigh","2","more","med","high","acc"
"595","vhigh","low","2","2","small","high","unacc"
"596","high","med","5more","4","small","med","unacc"
"597","low","high","2","more","small","low","unacc"
"598","med","vhigh","3","4","med","low","unacc"
"599","high","high","2","4","small","med","unacc"
"600","low","med","5more","more","small","low","unacc"
"601","vhigh","med","5more","2","med","low","unacc"
"602","vhigh","high","5more","4","med","low","unacc"
"603","low","high","3","2","med","med","unacc"
"604","vhigh","vhigh","2","2","small","low","unacc"
"605","vhigh","vhigh","2","4","small","low","unacc"
"606","med","med","2","4","big","high","vgood"
"607","low","high","3","more","big","low","unacc"
"608","vhigh","high","4","4","big","low","unacc"
"609","vhigh","med","5more","4","small","high","acc"
"610","vhigh","med","5more","2","med","high","unacc"
"611","vhigh","high","3","4","small","high","unacc"
"612","high","vhigh","4","4","big","low","unacc"
"613","vhigh","high","4","4","big","med","unacc"
"614","low","high","3","4","small","high","acc"
"615","high","med","5more","2","med","low","unacc"
"616","vhigh","high","3","more","small","med","unacc"
"617","vhigh","vhigh","4","more","big","high","unacc"
"618","med","low","3","more","big","high","vgood"
"619","low","low","4","2","small","low","unacc"
"620","high","high","4","2","small","med","unacc"
"621","vhigh","high","5more","more","med","low","unacc"
"622","high","low","2","more","small","med","unacc"
"623","high","vhigh","4","4","med","med","acc"
"624","vhigh","med","5more","more","big","low","unacc"
"625","vhigh","med","5more","more","small","high","acc"
"626","med","vhigh","2","4","small","high","unacc"
"627","low","vhigh","4","more","med","low","acc"
"628","med","med","2","2","med","low","unacc"
"629","vhigh","vhigh","2","4","med","low","unacc"
"630","low","med","4","4","med","med","acc"
"631","high","high","2","2","small","med","unacc"
"632","med","med","3","4","big","high","acc"
"633","vhigh","med","4","2","small","low","unacc"
"634","med","vhigh","3","4","small","high","acc"
"635","low","low","5more","4","med","high","vgood"
"636","med","low","3","2","med","low","unacc"
"637","med","high","2","more","med","high","unacc"
"638","vhigh","vhigh","5more","2","med","low","unacc"
"639","med","low","2","4","big","high","vgood"
"640","high","high","4","4","small","high","acc"
"641","vhigh","vhigh","3","4","big","med","unacc"
"642","low","low","2","2","med","med","unacc"
"643","low","vhigh","2","more","small","high","unacc"
"644","low","med","4","4","small","high","unacc"
"645","med","vhigh","3","2","small","med","unacc"
"646","med","med","5more","4","med","high","acc"
